,ID,Date,User,Tweet,Media,Hashtags
0,1293336156101390343,2020-08-11 23:59:03+00:00,Pakistan481,"People have become too aggressive... A consequent of the repressive policies of the state??? Maybe??? 
#BangaloreRiots #Bangalore #indian_Muslims",,"['BangaloreRiots', 'Bangalore', 'indian_Muslims']"
1,1293334847151316993,2020-08-11 23:53:51+00:00,S_TripathiJi,#BangaloreRiots shoot at sight order released by bhanglore police. One offensive post put the entire city under fire 🔥 more to come,,['BangaloreRiots']
2,1293334784333115392,2020-08-11 23:53:36+00:00,swaropb,Proper update on Bangalore riots,,
3,1293334172631670784,2020-08-11 23:51:10+00:00,utsavagarwl,Just keep a track on which all media outlets mentions that the Congress MLA attacked by the mslim mob was a Dalit. #bangaloreriots,,['bangaloreriots']
4,1293333952749604865,2020-08-11 23:50:17+00:00,Pakistan481,"Situation in Bangalore remains precarious.. Though the Muslim community has urged for peace and calm but the unjust and suffocating policies of right wing Hindu nationalists have pushed Muslims against a corner
#indian_muslims #riots
#Bangalore #BangaloreRiots #Riots #indiariots",,"['indian_muslims', 'riots', 'Bangalore', 'BangaloreRiots', 'Riots', 'indiariots']"
5,1293333005964959744,2020-08-11 23:46:32+00:00,Aadi71969484,"I request all the Non-Muslims from #Bengaluru to collect near all Temples/Churches/Mosques, Police station, Hospital, Sulabh sauchalaya and form Human chain and share your videos ASAP.
#bangaloreriots #Bangalore  #bangaluru #Bangloreriots",,"['Bengaluru', 'bangaloreriots', 'Bangalore', 'bangaluru', 'Bangloreriots']"
6,1293332703698395136,2020-08-11 23:45:20+00:00,iamHarshN,"So what you ll start rioting over fb posts? Shame on you for supporting such stuffThis is the new age. things can be talked out there is no need to go beserk.I am a proud hindu still i would never support such a ""peaceful ""protest by hindu mobs.#BangaloreRiots #whereisSecularism",,"['BangaloreRiots', 'whereisSecularism']"
7,1293332368376332288,2020-08-11 23:44:00+00:00,Kudupa,"You take law in hand, protest, burn property of citizens &amp; try to attack police station then, you deserve to get shot.
All of this rioting for what? Some random post on Facebook. Touchy much?? 
#BangaloreRiots",,['BangaloreRiots']
8,1293332183805919233,2020-08-11 23:43:16+00:00,shitirp,"Not one is disclosing the community which caused the #bangaloreriots had it been the other way round, the liberals would have have had a March blaming the Hindus, who's secular now you pieces of shit ??!!",,['bangaloreriots']
9,1293331001779916800,2020-08-11 23:38:34+00:00,Pakistan481,"Mobs are out because they are hurt.  the truth is that this backlash is not just to derogation of the Prophet SAW.  Ppl have just had enuf. The suffocation and the hurt gets to masses. It has just erupted when it couldnt beat anymore. BJP is to blame

#Bangalore  #BangaloreRiots",,"['Bangalore', 'BangaloreRiots']"
10,1293330872469352448,2020-08-11 23:38:03+00:00,avirbhav26,"Now we're able to see the reaction of Bhoomi poojan on peacefools.
Left leaning media and supporters are on their way to blame it all on the government. They talk about Jai Bheem - Jai Mim , that Congress MLA is from Dalit community.
#bangaloreriots
Summarising all in this: https://t.co/UTDARzZm02","[Photo(previewUrl='https://pbs.twimg.com/media/EfLVktCVoAU27kf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EfLVktCVoAU27kf?format=jpg&name=orig', altText=None)]",['bangaloreriots']
