,ID,Date,User,Tweet,Media,Hashtags
0,1347332028686020610,2021-01-07 23:59:22+00:00,exoticgamora,A US Capitol police officer has died following injuries suffered from the trump terrorists riot yesterday.,,
1,1347331431836499970,2021-01-07 23:57:00+00:00,PinkNews,Sadiq Khan says Donald Trump's 'deplorable' views on LGBT+ rights 'showed us who he is' well before Capitol riots  https://t.co/ZPwhBEzcll,,
2,1347331134888226821,2021-01-07 23:55:49+00:00,CMF_GlobalRisk,"DC POLICE CHIEF Press Release:  “There was no intelligence that suggested that there would be a breach of the US Capitol.”

#capitolhill #washingtondc #uscongress #ussenate #riots #fbi #america #trump #usa #security #maga #golpedeestado #golpistas #capitolpolice https://t.co/l7KxrtnGcP","[Photo(previewUrl='https://pbs.twimg.com/media/ErKuhhrXMAY4fRw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErKuhhrXMAY4fRw?format=jpg&name=orig', altText=None)]","['capitolhill', 'washingtondc', 'uscongress', 'ussenate', 'riots', 'fbi', 'america', 'trump', 'usa', 'security', 'maga', 'golpedeestado', 'golpistas', 'capitolpolice']"
3,1347330063247798274,2021-01-07 23:51:33+00:00,MADness_of_Drew,US: Trump’s Actions Fuel Capitol Riot  https://t.co/jOQgMnX4A9,,
4,1347329444831137793,2021-01-07 23:49:06+00:00,AndyVermaut,Over 60% of Americans hold Trump responsible for riots near US Capitol https://t.co/KqAOmDugF1 https://t.co/uqy4aMMmc3,"[Photo(previewUrl='https://pbs.twimg.com/media/ErKs_WrUYAIfOyV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErKs_WrUYAIfOyV?format=jpg&name=orig', altText=None)]",
5,1347329432814452737,2021-01-07 23:49:03+00:00,VSNPenn,Pennsylvania Man Among 4 People Who Died During Riots That Saw Mob Of Trump Supporters Breach US Capitol https://t.co/fZrgdvIMNU,,
6,1347328969708883969,2021-01-07 23:47:13+00:00,GroupHumanity,"This is what Iran is saying about the US: US Capitol riots: Iran mocks American democracy, calls it 'fragile' and weak. Iranian President Hassan Rouhani says Trump's election allowed seeds of populism to grow in US https://t.co/hIhYatgccT https://t.co/Hw9nDYCQa3",,
7,1347328229762355200,2021-01-07 23:44:16+00:00,tylerspegs,"far-right extremists storm US capitol, in an attempt to steal electoral college ballots, but fail, resulting in 4 dead niggas. the UNITED STATES CAPITOL was overrun by trump supports. this looks like a riot to me. https://t.co/2a2dAkdbYA","[Photo(previewUrl='https://pbs.twimg.com/media/ErKr4WMWMAIsefq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErKr4WMWMAIsefq?format=jpg&name=orig', altText=None)]",
8,1347326767015583745,2021-01-07 23:38:28+00:00,CourtneyDBryant,"A family member of the #Georgia woman killed during yesterday's riots at the US Capitol says he believes President Trump is at fault, and calls for invoking the 25th amendment.",,['Georgia']
9,1347326040826372096,2021-01-07 23:35:34+00:00,citizendark30,Riot at US Capitol live: Ex-chief of staff says president's political career 'is over' as more former allies desert Trump https://t.co/FJKSZ3R55D,,
