,ID,Date,User,Tweet,Media,Hashtags
0,1265432497027985409,2020-05-26 23:59:52+00:00,briannaerica__,Rest in paradise George Floyd🙏🏾,,
1,1265432493185839104,2020-05-26 23:59:51+00:00,_nabuckets,Police took another one of our brothers ion even feel outrage Nomo this reality long live George Floyd,,
2,1265432482096316421,2020-05-26 23:59:48+00:00,rankstr,NBC News: Minneapolis officers involved in deadly arrest of George Floyd have been fired...  https://t.co/7j2g0iHR5B https://t.co/dzr88cOrtL,"[Photo(previewUrl='https://pbs.twimg.com/media/EY-4IlzXYAAHg_g?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EY-4IlzXYAAHg_g?format=jpg&name=orig', altText=None)]",
3,1265432452228497408,2020-05-26 23:59:41+00:00,spookysee,"His name is George Floyd. He was murdered by the police. The cops need to be arrested for murder. Some justice needs to be done.

#BlackLivesMatter
#SayHisName",,"['BlackLivesMatter', 'SayHisName']"
4,1265432443529555968,2020-05-26 23:59:39+00:00,SeeingTwo,"#GeorgeFloyd
Officer Derek Chauvin should be prosecuted for the murder of George Floyd.",,['GeorgeFloyd']
5,1265432436730707977,2020-05-26 23:59:38+00:00,BhartiEahi,"I have remained at home for almost 2.5 months due to COVID-19, but today I was compelled to put on my mask and join others in Minneapolis to protest the death of George Floyd at the hands MPD officers. This has to stop. Most folks wore masks and stayed at a safe distance. https://t.co/5uMKw6fVqE","[Photo(previewUrl='https://pbs.twimg.com/media/EY-4FydXQAEhpAV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EY-4FydXQAEhpAV?format=jpg&name=orig', altText=None)]",
6,1265432427771486208,2020-05-26 23:59:36+00:00,rangerover02,"I’m struck by the juxtaposition of Amy Cooper and George Floyd, and how lightbulbs seem to be going on in previously clueless places. Is that really what it takes for people to get it?  All of our previous experience wasn’t enough? 😔",,
7,1265432415578685440,2020-05-26 23:59:33+00:00,FrannieMonique,4 Minneapolis Police Officers Fired Over George Floyd Death https://t.co/tSHEcn2BxK https://t.co/kbf9wxBO7q,"[Photo(previewUrl='https://pbs.twimg.com/media/EY-4E2mU0AA0X_E?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EY-4E2mU0AA0X_E?format=jpg&name=orig', altText=None)]",
8,1265432407227854849,2020-05-26 23:59:31+00:00,TEENWOLFREMIX,This week has been full of people cancelling Doja cat and jimmy fallon but the same people are quiet as hell for George Floyd being killed while handcuffed by police,,
9,1265432375434985474,2020-05-26 23:59:23+00:00,calliroth23,If the murder of George Floyd doesn’t infuriate you and make you think about police brutality towards POC you have a problem.,,
10,1265432353788157952,2020-05-26 23:59:18+00:00,JesusCranky,"Say his name: George Floyd.  RIP.

Stop the cops.",,
11,1265432349174620162,2020-05-26 23:59:17+00:00,kimspight,"I can’t watch the video of the murder of  George Floyd it’s too horrifying to see a Black man, or anyone, literally murdered in plain sight by the police.",,
12,1265432344477011978,2020-05-26 23:59:16+00:00,KDFL43,RIP George Floyd,,
13,1265432334645460992,2020-05-26 23:59:13+00:00,aaakhigbe,"All in one day.
""You're Fired,"" in Donald Trump's voice.
Rest in Peace George Floyd. https://t.co/mwvb2COgE4","[Photo(previewUrl='https://pbs.twimg.com/media/EY-3iuUXYAIKHC0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EY-3iuUXYAIKHC0?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EY-3lo4X0AE9bvF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EY-3lo4X0AE9bvF?format=jpg&name=orig', altText=None)]",
14,1265432322922381314,2020-05-26 23:59:11+00:00,MikeCouchman,George Floyd’s life mattered. https://t.co/kUCsDZcSB5,,
15,1265432322847002626,2020-05-26 23:59:11+00:00,ang_lmtcle,I don’t need to know that ignorant woman with the dog in Central Park name and I don’t need to know the men in MN names... what names I do need to know is CHRISTIAN COOPER AND GEORGE FLOYD’s name! This shit needs to stop!,,
16,1265432286000005120,2020-05-26 23:59:02+00:00,Godigetitnow1,‘Completely And Utterly Messed Up’: Video Of Fatal Arrest Shows Minneapolis Officer Kneeling On George Floyd’s Neck For Several Minutes – WCCO | CBS Minnesota🙏🏾 #GeorgeFloyd✊🏾❤️✊🏾 https://t.co/XUxuwoi8fS,,['GeorgeFloyd']
17,1265432275317071872,2020-05-26 23:58:59+00:00,ParableJean,Hey 3% - how do you think George Floyd felt about tyranny? #PoliceBrutality,,['PoliceBrutality']
18,1265432273660383232,2020-05-26 23:58:59+00:00,dudser83,"The George floyd video in America is one of the most shockin things I’ve ever seen, everything right on camera, cops have no chance of gettin off with this one",,
19,1265432256719486977,2020-05-26 23:58:55+00:00,annarogers505,#icantbreathe shouldn’t never be heard when you arrested by a police officer period. it’s obvious the police is using unnecessary FORCE. George Floyd was MURDER.witness was heard on the video saying at least let him BREATH #JusticeForFloyd,,"['icantbreathe', 'JusticeForFloyd']"
20,1265432171885596674,2020-05-26 23:58:35+00:00,spud_nation,MINNEAPOLIS! DO NOT BE QUIET. WHITE PEOPLE! DO NOT LOOK THE OTHER WAY. DO NOT IGNORE THIS. DO NOT THINK THIS ISN’T A RACE ISSUE. DO NOT THINK THIS ISN’T YOUR ISSUE. THIS IS AN AMERICAN PROBLEM THAT WE CAN ONLY FIX TOGETHER. SAYING NOTHING IS PART OF THE PROBLEM. RIP GEORGE FLOYD!,,
21,1265432165396942849,2020-05-26 23:58:33+00:00,madridistanole,Mediaite doesn’t want whites people talking about George Floyd either I guess,,
22,1265432154164482048,2020-05-26 23:58:30+00:00,DomiKropp,"After watching the video, I am just sick. Rest in peace, George Floyd.",,
