,ID,Date,User,Tweet,Media,Hashtags
0,1137399679656706048,2019-06-08 16:43:10+00:00,rexe11,"9th June, it's time to stand up.
#antiELAB #ExtraditionBill #HongKong #protest #fugitives",,"['antiELAB', 'ExtraditionBill', 'HongKong', 'protest', 'fugitives']"
1,1137397943797985281,2019-06-08 16:36:16+00:00,Lily4Liberty,"The largest attorneys protest in recent Hong Kong history. 

HKFP Lens: Hong Kong's legal sector silently march over extradition bill in 'biggest demo yet' by lawyers https://t.co/LO6u2MoC4h via @hongkongfp",,
2,1137387501637722112,2019-06-08 15:54:46+00:00,galileocheng,"Dominic Chan, the parish priest of Catholic Cathedral of #hongkong has strong ties &amp; close relationships w/ Catholic govt officials like Carrie Lam, Donald Tsang &amp; John Tsang. Now he’s leading demonstration w/ parishioners to against Fugitives Ordinance.",,['hongkong']
3,1137382643006418944,2019-06-08 15:35:28+00:00,RickyKot,Shakespeare riots~ @ The St. Regis Hong Kong https://t.co/4J4RXiADco,,
4,1137366695830384641,2019-06-08 14:32:06+00:00,haritho,Wow. This is BIG. A judge in #HongKong openly opposes govt's planned law to surrender fugitives back to #China,,"['HongKong', 'China']"
5,1137357431237951489,2019-06-08 13:55:17+00:00,totally_legal,Construction and Arbitration Lawyer - Hong Kong - Douglas Scott Legal Recruitment Limited #MagicCircle #LegalJobs https://t.co/Jf8tj0wGuK,,"['MagicCircle', 'LegalJobs']"
6,1137338882771394560,2019-06-08 12:41:35+00:00,Sandrine27Hk,"International greed created #ChineseHitler, whos after dissidents with an Extradition Amendment to #Hongkong law, made possible by the #UK which abandoned HK in 1997 without legal protection. No #UniversityChallenge #mastermind or #OnlyConnect so check online where to march w us. https://t.co/X8e4lsZUWw","[Photo(previewUrl='https://pbs.twimg.com/media/D8ijoGWUIAAYUJv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8ijoGWUIAAYUJv?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/D8ijpGGVUAAbj20?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8ijpGGVUAAbj20?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/D8ijqdBVsAEFTdx?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8ijqdBVsAEFTdx?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/D8ijrBcU8AERvYw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8ijrBcU8AERvYw?format=jpg&name=orig', altText=None)]","['ChineseHitler', 'Hongkong', 'UK', 'UniversityChallenge', 'mastermind', 'OnlyConnect']"
7,1137324135590313990,2019-06-08 11:42:59+00:00,AlbertMylesAM,Legal Experts Slam Unfounded Claims On Petrol Bomb Attacks | Hong Kong | China Daily https://t.co/3bbP0Csf6m,,
8,1137297723529617409,2019-06-08 09:58:01+00:00,KenKChow,Current extradition law provides firewall to protect Hong Kong’s legal system https://t.co/GtplId4vjy @SCMPNew https://t.co/wlPwjC4MEF,"[Photo(previewUrl='https://pbs.twimg.com/media/D8h-QJnXkAEDYp1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8h-QJnXkAEDYp1?format=jpg&name=orig', altText=None)]",
9,1137289387752927234,2019-06-08 09:24:54+00:00,OldChinaBland,"Via .@Hongkong_Bear

""Singer, Mother, Bishop, Child ... All become fugitives under new Extradition Laws &amp; will be sent to China, then 'disappeared'.""

This concisely explains how atrocious the new laws in Hong Kong could be, if passed.

#SaveHongKong
#NoChinaExtradition",,"['SaveHongKong', 'NoChinaExtradition']"
10,1137252005964013570,2019-06-08 06:56:21+00:00,hamletbon,Legal Trojan horse: Hong Kong’s new extradition arrangement puts foreigners at risk https://t.co/0W9LIBg5wu,,
11,1137237821754814464,2019-06-08 06:00:00+00:00,AlArabiya_Eng,"Hong Kong is pushing for sweeping legal changes that would for the first time allow fugitives captured in Hong Kong to be sent to mainland China for trial.

https://t.co/HqIg9FSn3C",,
12,1137227956030517248,2019-06-08 05:20:48+00:00,YouHalal,Hong Kong pushes ahead with controversial extradition bill Hong Kong is pushing for sweeping legal changes that would for the first time allow fugitives captured in Hong Kong to be sent to mainland China for trial. The proposal ... https://t.co/vVtD9msmVf via @youhalal #ArabNews,,['ArabNews']
13,1137073756625690624,2019-06-07 19:08:04+00:00,mycybercasino,"Hong Kong lawyers hold silent march against controversial extradition bill 

Thousands of Hong Kong legal professionals took part in a silent  https://t.co/DfdAISCAUT https://t.co/beG384YE1X","[Photo(previewUrl='https://pbs.twimg.com/media/D8eyjk4X4AAgwcB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8eyjk4X4AAgwcB?format=jpg&name=orig', altText=None)]",
14,1137065918712963076,2019-06-07 18:36:55+00:00,CollegesOfLaw,This year's Education Beyond Borders course will examine balance in Hong Kong! Don’t miss your opportunity to expand your legal perspective beyond the borders of the U.S. Learn more and apply today: https://t.co/zIpr4KzwfD https://t.co/nc6EuWRR2q,"[Photo(previewUrl='https://pbs.twimg.com/media/D8erbU7WsAIGiRq?format=png&name=small', fullUrl='https://pbs.twimg.com/media/D8erbU7WsAIGiRq?format=png&name=orig', altText=None)]",
15,1137031154052337665,2019-06-07 16:18:46+00:00,Macau_Business,"Representatives from online media in Hong Kong told MNA how important the official recognition of publications only published online has been for journalism in the city, while local media urges authorities to add solely online media to the legal...

https://t.co/Gvx2eZ3ZFK",,
16,1137025170760015872,2019-06-07 15:55:00+00:00,SCMPNews,Thousands of #HongKong legal professionals took part in a silent protest march against a controversial extradition bill https://t.co/O8sMovkgfi,"[Video(thumbnailUrl='https://pbs.twimg.com/media/D8b8GSQVUAAS0I3.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/vid/320x320/n5s3aI5OtULshbxj.mp4?tag=13', contentType='video/mp4', bitrate=432000), VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/pl/kPtwIlFBdVsRaHdD.m3u8?tag=13', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/vid/480x480/KjkgGjxQKRLj5jsq.mp4?tag=13', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/vid/720x720/w_6qzaKzPjEibMHh.mp4?tag=13', contentType='video/mp4', bitrate=1280000)], duration=92.48, views=11147, altText=None)]",['HongKong']
17,1137010793403301888,2019-06-07 14:57:52+00:00,newshub247com,"Same-sex couple entitled to spousal benefits, Hong Kong court rules https://t.co/HNsxBTytoH #china #chinanews #courtnews #courts #hongkong #legal #legalnews #lgbt #lgbtnews #lgbtrights #lgbtq #lgbtqnews #lgbtqcommunity #lgbtqrights #lifestyle",,"['china', 'chinanews', 'courtnews', 'courts', 'hongkong', 'legal', 'legalnews', 'lgbt', 'lgbtnews', 'lgbtrights', 'lgbtq', 'lgbtqnews', 'lgbtqcommunity', 'lgbtqrights', 'lifestyle']"
18,1137006888225320960,2019-06-07 14:42:21+00:00,hkstream,"#HKFP HKFP Lens: Hong Kong's legal sector silently march over extradition bill in 'biggest demo yet' by lawyers 

https://t.co/c0hEShLpWS https://t.co/Ka5uN2oAE8","[Photo(previewUrl='https://pbs.twimg.com/media/D8d0w_7UcAAhEr6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8d0w_7UcAAhEr6?format=jpg&name=orig', altText=None)]",['HKFP']
19,1137005817842978823,2019-06-07 14:38:06+00:00,hkfp,"HKFP Lens: Hong Kong's legal sector silently march over extradition bill in 'biggest demo yet' by lawyers 

https://t.co/MJ44VkUcoB https://t.co/TujoUPi1es","[Photo(previewUrl='https://pbs.twimg.com/media/D8d0w_7UcAAhEr6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8d0w_7UcAAhEr6?format=jpg&name=orig', altText=None)]",
20,1136964772514033664,2019-06-07 11:55:00+00:00,SCMPNews,Thousands of #HongKong legal professionals took part in a silent protest march against a controversial extradition bill https://t.co/8skRpL5bbF,"[Video(thumbnailUrl='https://pbs.twimg.com/media/D8b8GSQVUAAS0I3.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/vid/320x320/n5s3aI5OtULshbxj.mp4?tag=13', contentType='video/mp4', bitrate=432000), VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/pl/kPtwIlFBdVsRaHdD.m3u8?tag=13', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/vid/480x480/KjkgGjxQKRLj5jsq.mp4?tag=13', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1136872627031560192/vid/720x720/w_6qzaKzPjEibMHh.mp4?tag=13', contentType='video/mp4', bitrate=1280000)], duration=92.48, views=11147, altText=None)]",['HongKong']
21,1136951816032325632,2019-06-07 11:03:31+00:00,GlobalCRL,"""It is completely unreasonable that they are demolishing the [legal] firewall [between #HongKong and mainland #China] with no justification, and against the interests of the Hong Kong people ... This amendment will destroy the #ruleoflaw"" HK lawyers https://t.co/iWNy0whBoX",,"['HongKong', 'China', 'ruleoflaw']"
22,1136939211905519616,2019-06-07 10:13:26+00:00,lawjobs,"Open position: Junior Funds Role - US Law Firm - Hong Kong - Jameson Legal - Hong Kong, Asia - https://t.co/qLSWSx26Id - Via @Lawjobs",,
23,1136928169485852673,2019-06-07 09:29:33+00:00,AlbertMylesAM,Legal Groups Lend Support To Extradition Bill | Hong Kong | China Daily https://t.co/xNMKiTv5hg,,
24,1136920733110562817,2019-06-07 09:00:00+00:00,Brand_HK,"#HongKong maintains deep links with the #commonlaw world - jurists from other common law jurisdictions have been recruited by the HK Judiciary, further underpinning the city’s fair, transparent and respected #legal system
#law
https://t.co/dFKjFJSzYf https://t.co/uxCOlviqfh","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1136559034700451840/pu/img/kP_6LLEKnP3PvzqN.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1136559034700451840/pu/vid/480x270/fcrkiGt0hBmp7Or7.mp4?tag=10', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1136559034700451840/pu/vid/640x360/Zxm1mnBFR6CdJEvU.mp4?tag=10', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1136559034700451840/pu/vid/1280x720/hOMv1HYyK0NtCK8h.mp4?tag=10', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1136559034700451840/pu/pl/ZTTAsBC-tNGXFR3b.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None)], duration=61.08, views=125596, altText=None)]","['HongKong', 'commonlaw', 'legal', 'law']"
25,1136918547672838145,2019-06-07 08:51:19+00:00,GreenNerve,"same tactics that CCP used during the 60s Hong Kong riots, disguised CCP agents just trying to provoke unrest , then blaming the British Imperialism, this time  they will blame the people protesting against the extradition law",,
26,1136908865461637120,2019-06-07 08:12:50+00:00,BirgitMSchwarz,No one will be safe should the #HongKong government pass proposed changes to extradition laws which will give the #Chinese government a legal tool to take people in Hong Kong into custody. @hrw https://t.co/KwbvV62UnQ https://t.co/ADo5ql9Ns4,"[Photo(previewUrl='https://pbs.twimg.com/media/D8ccjMpX4AEHuJo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8ccjMpX4AEHuJo?format=jpg&name=orig', altText=None)]","['HongKong', 'Chinese']"
27,1136903675924738048,2019-06-07 07:52:13+00:00,kukk44,"Thousands of Hong Kong legal professionals took part in a silent protest march against a controversial extradition bill.
Do we expect some reaction from the keepers of Law against misuse of the EVMs?
@vijayrpandey @KapilSibal @Pawankhera @LiveLawIndia 
https://t.co/fXhkMqoCOw",,
28,1136880491448000512,2019-06-07 06:20:06+00:00,winglets747,"Hong Kong Airlines is asserting itself by seeking US$12 million of damages from a shareholder and legal permission to restructure.

Since the last court hearing, airline management has been bolstered while a warring faction has struggled to organise. https://t.co/LhMflI4ezX",,
