,ID,Date,User,Tweet,Media,Hashtags
0,1403763185530847235,2021-06-12 17:16:38+00:00,maniseku,WDU how the coalition minority can survive in the midst of majority Jewish population This is all a temporary strategy to keep Netanyahu from the crisis Israelis-considers BN their PM  4 life &amp;Israel is Jewish country &amp;Palestine President seems 2have more belief in Netanyahu too,,
1,1403534836682297349,2021-06-12 02:09:16+00:00,globalpilgrim,A New Mental Health Crisis Is Raging in Gaza. Why the world needs to unite in demanding an end to Israel's trauma-inducing war crime policies in Palestine. https://t.co/IMWa740ham via @sciam #Palestine #trauma,,"['Palestine', 'trauma']"
2,1403501601281564675,2021-06-11 23:57:12+00:00,Ezio09529939,Palestine  is going through a humanitarian crisis. Save Palestine from the Israeli genocide &amp; ethnic cleansing. It's a mass slaughter regime. Sue Israel &amp; US in the international court of justice.,,
3,1403473966023385088,2021-06-11 22:07:23+00:00,az7stars,A(ಠωಠ)Zy~~~7☆Come Israel to Japan. New Judah land(temporary name)and Palestine same world work neutral country 2 not 1. Judah is for Israel opposite. Jewish of world naming. Israel Nazis ghost upset lid to Japan all bad cause have farted curse spell make world crisis.,,
4,1403385449255735301,2021-06-11 16:15:39+00:00,IPRI_Pak,"In our webinar, @DrZahidShahab, Research Fellow, @Deakin_ADI, spoke about how news outlets around the world engaged in constructing different versions of the events while covering the #Palestine- #Israel crisis. https://t.co/2pDCg3miNM","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1403385368595111942/pu/img/ZafZ8cDyGgx2MVKP.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1403385368595111942/pu/vid/480x270/6ClXA4gUmbzlxSx7.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1403385368595111942/pu/pl/j4PBWrPExnFw8Vtl.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1403385368595111942/pu/vid/1280x720/GXZ7BgccjEzfUc2J.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1403385368595111942/pu/vid/640x360/soDbPbgaM359XAYm.mp4?tag=12', contentType='video/mp4', bitrate=832000)], duration=128.867, views=247, altText=None)]","['Palestine', 'Israel']"
5,1403209053338320897,2021-06-11 04:34:43+00:00,Ghali_Zayane,"U.S. policy has perpetuated the crisis &amp; atrocities of the Israeli occupation by unconditionally supporting Israel in three distinct ways: militarily, diplomatically &amp; politically. Palestine has a right to defend itself. #FreePalestine #OpIsrael #SaveGaza https://t.co/fcFrbJaN53",,"['FreePalestine', 'OpIsrael', 'SaveGaza']"
6,1403171608638885888,2021-06-11 02:05:55+00:00,wearynomad1,"Attempting to further wedge Labor over #Israel_Palestine, Rob Harris @smh @theage exposes the real dilemma. 

How do we talk about the humanitarian crisis facing #Palestinians without being smeared and crucified by extensive Zionist lobby.
 
https://t.co/e4gBbHnl9B",,"['Israel_Palestine', 'Palestinians']"
7,1403104156726988808,2021-06-10 21:37:54+00:00,dublinactivist,"U.S. policy has perpetuated the crisis &amp; atrocities of the Israeli occupation by unconditionally supporting Israel in three distinct ways: militarily, diplomatically &amp; politically. Palestine has a right to defend itself. #FreePalestine #OpIsrael #SaveGaza https://t.co/iwqq9TL4A2",,"['FreePalestine', 'OpIsrael', 'SaveGaza']"
8,1403101804448169991,2021-06-10 21:28:33+00:00,RichardGowan1,"With this sort of Middle East analysis at my disposal, it's amazing that @CrisisGroup doesn't drop @JoostHiltermann and put me in charge of the #MENA team... 

But dig into the interview for more detail on @USAmbUN, how @Chinamission2un handled the #IsraelPalestine crisis &amp; more.",,"['MENA', 'IsraelPalestine']"
9,1403040213979516932,2021-06-10 17:23:48+00:00,Nikolai_Avenger,"Things that have disappeared suspiciously quickly from the front page of the news..

1) COVID crisis in India
2) Israel / Palestine conflict 
3) Sasha Johnson

Why..

Diversionary?",,
10,1403029466138525701,2021-06-10 16:41:06+00:00,aneesafalasteen,"U.S. policy has perpetuated the crisis &amp; atrocities of the Israeli occupation by unconditionally supporting Israel in three distinct ways: militarily, diplomatically &amp; politically. Palestine has a right to defend itself. #FreePalestine #OpIsrael #SaveGaza https://t.co/yuC76wa34a",,"['FreePalestine', 'OpIsrael', 'SaveGaza']"
