,ID,Date,User,Tweet,Media,Hashtags
0,1380308365868466178,2021-04-08 23:55:33+00:00,SocialistVoice,"The riots in Northern Ireland may have been sparked by Brexit, but tribal tensions were already rising 

The violence has also been a reflection of difficulties in deprived areas where many of the inhabitants are not in employment, education or training https://t.co/3MlFdmiiVN",,
1,1380306019557904386,2021-04-08 23:46:14+00:00,Eyeswideopen69,"Can we please agree on a name for the ‘disquiet’ in Northern Ireland?

“Brexit riots” seems appropriate no?",,
2,1380304249700065280,2021-04-08 23:39:12+00:00,ellllljaaac,"Heartbreaking, poor dogs whoever made the decision for dogs to be used at riots needs put out of their job, absolutely no need 😔 #belfastriots #Belfast #NorthernIrelandRiots #northernireland https://t.co/9pmSuX5FJ9","[Photo(previewUrl='https://pbs.twimg.com/media/EyfTZcgWEAAcb8L?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EyfTZcgWEAAcb8L?format=jpg&name=orig', altText=None)]","['belfastriots', 'Belfast', 'NorthernIrelandRiots', 'northernireland']"
3,1380303508168077312,2021-04-08 23:36:15+00:00,Mikey02_1984,"Jason, Mark and Richard Quinn (died 12 July 1998)
Lyra McKee (died 18 April 2019)
Four innocent victims killed as a result of riots in Northern Ireland over the years. End the #belfastriots &amp; the other riots across the province before more families have to suffer.  No more.",,['belfastriots']
4,1380301468700393473,2021-04-08 23:28:09+00:00,KarenStopHate,Starmer urges ‘absent’ PM to convene all-party talks over Northern Ireland riots https://t.co/powaLDtFXi,,
5,1380298664376172547,2021-04-08 23:17:00+00:00,bowen_james,"Northern Ireland
2016: votes to Remain
2017: the DUP fail to defend people's rights
2020: has economic sanctions imposed upon it by the Vote Leave Westminster Government
2021: the riots begin",,
6,1380297218868047874,2021-04-08 23:11:16+00:00,AnGaidhealDubh,"Anyone framing the riots in Northern Ireland as being ""Brexit riots"" are ahistorical twats who care only about Northern Ireland as an argument for Britain remaining part of the EU.

The conflict goes deeper than Brexit, and you have a responsibility to think before you spew shit.",,
7,1380297205278466048,2021-04-08 23:11:13+00:00,XSirenShooterX,"Anyone who or is part of the riots in Northern Ireland should be ashamed of themselves, I’m an army widow and I do NOT condone these acts of violence it’s shameful and a disgrace,enough blood has been shed all over STOP plz it’s not helping anyone #NorthernIrelandRiots",,['NorthernIrelandRiots']
8,1380296656374145031,2021-04-08 23:09:02+00:00,darlingfeltonn,"I am ashamed to be from Northern Ireland, life here is shocking. It is so normal for us to have riots when it shouldnt be, those things should not happen ANYWHERE! It puts so many peoples lives at danger. Just because the police show up in their 'riot' gear does not-",,
9,1380294780278562817,2021-04-08 23:01:34+00:00,IrelandALLIE2,"Am soooo happy we got all the family and relations out of NI a time back. I just worry bout all our mates there.
Northern Ireland riots: Bus torched in more Belfast violence as British and Irish leaders call for calm https://t.co/1CyZcDfhex",,
10,1380293192751403008,2021-04-08 22:55:16+00:00,BroncoBaby10,Northern Ireland riots: Bus torched in more Belfast violence as British and Irish leaders call for calm https://t.co/g6bSSZuUZX,,
11,1380291834962927616,2021-04-08 22:49:52+00:00,Diana6197Davis,"In Northern Ireland a reminder to the PM that once the pandemic fades, the U.K. will have to face up to the long-term consequences of Brexit!  In city of Belfast riots &amp; tension as PM's deal with EU means N.I. legally in UK but in EU customs regime &amp; the single market for trade! https://t.co/wY5MYj6FfR","[Photo(previewUrl='https://pbs.twimg.com/media/EyfIF6lXEAM-4ZL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EyfIF6lXEAM-4ZL?format=jpg&name=orig', altText=None)]",
12,1380291606348173316,2021-04-08 22:48:58+00:00,EJKorvette,"#foxnews #specialreport #BLM #Blacklivesmatter and ""#antifa"" sent official delegations to Northern Ireland during the recent riots there to learn more effective rioting techniques from the pros and their experience. #CNN #MSNBC #inners",,"['foxnews', 'specialreport', 'BLM', 'Blacklivesmatter', 'antifa', 'CNN', 'MSNBC', 'inners']"
13,1380286792398741506,2021-04-08 22:29:50+00:00,SNDigitalNews,#BREAKING For up to the minute videos of the riot scenes in Belfast follow @LNDblog  #Belfast #BelfastRiots #NorthernIrelandRiots #NorthernIreland #Shankill #Brexit #BrexitRiots Stay safe Freelancer.,,"['BREAKING', 'Belfast', 'BelfastRiots', 'NorthernIrelandRiots', 'NorthernIreland', 'Shankill', 'Brexit', 'BrexitRiots']"
14,1380285440859762693,2021-04-08 22:24:28+00:00,edyrdologist,got several texts from friends/family today asking about the riots in Belfast and not sure how I feel about being “the Northern Ireland guy” in people’s lives.,,
15,1380284682785411075,2021-04-08 22:21:27+00:00,alastairmck,23 years after the Good Friday Agreement was signed would there be riots once again in Northern Ireland if @BorisJohnson's hard Brexit had not happened? Simples...,,
16,1380284642998284290,2021-04-08 22:21:17+00:00,MainesChris,"""Rioting and lawlessness has disfigured Northern Ireland for decades. Brexit is not an excuse."" Says Theresa Villiers on #Newsnight.
We've had 2 decades of peace without riots since the GFA.
Shameful Villiers, Arlene Foster and the other #Brexiteers fail to accept responsibility.",,"['Newsnight', 'Brexiteers']"
17,1380284363091349508,2021-04-08 22:20:11+00:00,SophsTakeNotes,"Living in Northern Ireland is not realising quite how serious riots are getting until your friends from other countries start checking up on you with the phrase ""I heard what's happening in NI, hope you and your family are safe""",,
18,1380284195373772802,2021-04-08 22:19:31+00:00,ImIncorrigible,"Theresa Villiers: the citizens of #NorthernIreland are just violent thugs who naturally riot for no reason; what the British govt does simply has no influence.

Thicker than a whale omelette.

#BrexitReality

#Newsnight #bbcaq",,"['NorthernIreland', 'BrexitReality', 'Newsnight', 'bbcaq']"
