,ID,Date,User,Tweet,Media,Hashtags
0,1620931444184055809,2023-02-01 23:45:46+00:00,Mahsa_Heza,"There are intelligence indicators that the explosive attack on a mosque in Peshawar, Pakistan, was carried out by Mawlawi Hammad, a prominent member of the Taliban insurgents' intelligence.
#PeshawarAttack",,['PeshawarAttack']
1,1620919733867671552,2023-02-01 22:59:14+00:00,REALIND27296425,"100 Muslim died in suicide bomber attack in a Peshawar mosque. 
They have Quran in Mosque and hundreds of Qurans in the mosque which were burnt and destroyed.

No protests by Muslims in World over blast and burning of these Qurans❌

IT PROVED THAT MUSLIM LOVE TERRORIST ACTS.",,
2,1620919404736446465,2023-02-01 22:57:55+00:00,KhawajaSheikh0,"TTP claims we didn’t attack some sources claims it’s drone attack because no evidence has been found who entered mosque and blast Peshawar attack 
Sources claims it’s Drone attack",,
3,1620913604898983938,2023-02-01 22:34:53+00:00,nimeshshukla,"101 people died in suicide attack in a Peshawar mosque. There must be hundreds of Qurans in that mosque which were burnt and destroyed.

No protests in India over burning of these Qurans?",,
4,1620911706883952640,2023-02-01 22:27:20+00:00,feeds24x7,"#Pakistan defence minister Khawaja Asif said worshippers were not killed during prayers even in India, in remarks made following the deadly suicide bombing inside a mosque in #Peshawar. The suicide attack left 100 people dead and many injured

https://t.co/PoYao7d765",,"['Pakistan', 'Peshawar']"
5,1620905441592229896,2023-02-01 22:02:26+00:00,EasternHerald,"Death toll in #Peshawar mosque attack rises to nearly 90 

#PeshawarAttack #PeshawarBleedsAgain #Peshawarblast #Pakistan 
https://t.co/NGl65z6s45",,"['Peshawar', 'PeshawarAttack', 'PeshawarBleedsAgain', 'Peshawarblast', 'Pakistan']"
6,1620899793504542749,2023-02-01 21:40:00+00:00,htTweets,"#Pakistan defence minister Khawaja Asif said worshippers were not killed during prayers even in India, in remarks made following the deadly suicide bombing inside a mosque in #Peshawar. The suicide attack left 100 people dead and many injured

https://t.co/cMVmdDTVoO",,"['Pakistan', 'Peshawar']"
7,1620875737086722048,2023-02-01 20:04:24+00:00,PrinceBaloch_,"TTP and TTA has no difference.TTA is supporting TTP in conduct of such brutal attacks against innocent common people
We strongly condemn the Peshawar Mosque Attack
#TTPTerrorist 
#PeshwarBlast 
#StopKillingInnocents
#PeshawarBleeds https://t.co/MjEzsdgNYq","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1620875543054000129/pu/img/t-0K6LlZNjGZoyUC.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875543054000129/pu/vid/320x580/f4iu05n4LzMbI5Ik.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875543054000129/pu/vid/352x640/lznfH_hARPxaLsDR.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875543054000129/pu/pl/-cOSi7PGJS7pASth.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=44.991, views=19, altText=None), Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1620875605955973121/pu/img/Fn96yRf9VO8Yl9nA.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875605955973121/pu/vid/490x270/DjW3gpRCCbtY2bqm.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875605955973121/pu/pl/YUcJhzEtLq0mUjyG.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875605955973121/pu/vid/640x352/TWl6kNa-9mqwGCXj.mp4?tag=12', contentType='video/mp4', bitrate=832000)], duration=44.998, views=2, altText=None), Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1620875670783148032/pu/img/mgfmP4nXEv9NsiTa.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875670783148032/pu/vid/320x564/3eIWBoHCkdubCelw.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875670783148032/pu/pl/qHyXQuG7y2pNLPL_.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620875670783148032/pu/vid/480x848/5akTTjmJTRORmGJE.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=44.975, views=2, altText=None)]","['TTPTerrorist', 'PeshwarBlast', 'StopKillingInnocents', 'PeshawarBleeds']"
8,1620866282123034625,2023-02-01 19:26:50+00:00,YunasLangou1991,"TTP and TTA has no difference. TTA is supporting TTP in conduct of such brutal attacks against innocent common people.
We strongly condemn the Peshawar Mosque Attack
#StopKillingInnocent
#PeshawarBleeds 
#TTPTerrorist https://t.co/t8kPJSaWEj","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1620864124510158849/pu/img/Oi75jBIsgDTjPBm4.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1620864124510158849/pu/vid/480x720/-xwt2Cx5EQDaJivH.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620864124510158849/pu/vid/320x480/1CaM3MdaZyVvyRBr.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620864124510158849/pu/pl/rvmMoj3-GnpPMHil.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=31.67, views=6, altText=None)]","['StopKillingInnocent', 'PeshawarBleeds', 'TTPTerrorist']"
9,1620865355416735744,2023-02-01 19:23:09+00:00,FightExtremism,"Peshawar residents were left in a panic by Monday’s mosque attack, bringing an already terrorism-scarred city back to a time when it was the site of a militant campaign and subject to random terrorist attacks  https://t.co/CfIrKPKrHb",,
10,1620865254178824192,2023-02-01 19:22:45+00:00,YunasLangou1991,"TTP and TTA has no difference. TTA is supporting TTP in conduct of such brutal attacks against innocent common people.
We strongly condemn the Peshawar Mosque Attack
#StopKillingInnocent
#TTPTerrorist 
#PeshawarBleeds https://t.co/IFjl2n5bZn","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1620863663283507200/pu/img/RHVnbXHM2-WRUUF5.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1620863663283507200/pu/pl/__ch6LnSWNlbG_D5.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620863663283507200/pu/vid/490x270/7enD1tJh40jFNNjd.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620863663283507200/pu/vid/640x352/zHsIDNnK_6hPASdf.mp4?tag=12', contentType='video/mp4', bitrate=832000)], duration=44.995, views=8, altText=None)]","['StopKillingInnocent', 'TTPTerrorist', 'PeshawarBleeds']"
11,1620859094885339136,2023-02-01 18:58:16+00:00,gauravcsawant,Sensational claim by #Pakistan army veteran &amp; @ImranKhanPTI supporter: Pak army behind #Peshawar #mosque attack to delay elections in Khyber Pakhtoonkhwa Province (KPK) &amp; adversely impact Imran Khan. Listen to his commentary,,"['Pakistan', 'Peshawar', 'mosque']"
12,1620853083101351937,2023-02-01 18:34:23+00:00,b_k516,"#PeshawarAttack
#PeshawarBleedsAgain
#peshawarmosqueattack
@ManzorPashteen
Good job. https://t.co/2b5I4ZjDs2","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1620852986393002009/pu/img/UTcM-v2MnRYcMu1f.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1620852986393002009/pu/vid/576x1024/qnfDLaCs1riUThrl.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620852986393002009/pu/vid/320x568/EUZhxw73MDpZYbmO.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620852986393002009/pu/pl/rUVUhrb3lj0YTKHV.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1620852986393002009/pu/vid/480x852/3cDpwplujuYNQ2XG.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=18.366, views=385, altText=None)]","['PeshawarAttack', 'PeshawarBleedsAgain', 'peshawarmosqueattack']"
13,1620850169045712896,2023-02-01 18:22:48+00:00,AAKiani1,This is perhaps for the first time that suicide attack in Police Mosque Peshawar is being viewed  as the handiwork of groups other than known terrorist groups. Reportedly TTP denied its hand in the gruesome Peshawar  incident. Who the foreign/internal  buggers are involved.,,
14,1620850035629101058,2023-02-01 18:22:17+00:00,MichaelKugelman,"I'm quoted (as is @MadihaAfzal and others) in this piece by @cegoldbaum @salmanmasood and @zalmayzia on the aftermath of Monday's mosque blast in Peshawar, the deadliest terrorist attack in Pakistan since 2018.
https://t.co/Fxd2RVPnAE",,
